DATE,AvgTemp
2014-09-11,49.0
2014-09-12,50.0
2014-09-13,51.0
2014-09-14,51.0
2014-09-15,50.0
2014-09-16,46.0
2014-09-17,46.0
2014-09-18,46.0
2014-09-19,47.0
2014-09-20,46.0
2014-09-21,45.0
2014-09-22,48.0
2014-09-23,50.0
2014-09-24,50.0
2014-09-25,48.0
2014-09-26,51.0
2014-09-27,47.0
2014-09-28,49.0
2014-09-29,47.0
2014-09-30,44.0
2014-10-01,45.0
2014-10-02,45.0
2014-10-03,44.0
2014-10-04,45.0
2014-10-05,46.0
2014-10-06,46.0
2014-10-07,48.0
2014-10-08,49.0
2014-10-09,51.0
2014-10-10,49.0
2014-10-11,47.0
2014-10-12,45.0
2014-10-13,43.0
2014-10-14,46.0
2014-10-15,49.0
2014-10-16,52.0
2014-10-17,48.0
2014-10-18,46.0
2014-10-19,48.0
2014-10-20,51.0
2014-10-21,49.0
2014-10-22,48.0
2014-10-23,46.0
2014-10-24,49.0
2014-10-25,49.0
2014-10-26,48.0
2014-10-27,47.0
2014-10-28,49.0
2014-10-29,49.0
2014-10-30,48.0
2014-10-31,47.0
2014-11-01,44.0
2014-11-02,48.0
2014-11-03,47.0
2014-11-04,43.0
2014-11-05,48.0
2014-11-06,50.0
2014-11-07,48.0
2014-11-08,46.0
2014-11-09,48.0
2014-11-10,51.0
2014-11-11,50.0
2014-11-12,49.0
2014-11-13,48.0
2014-11-14,46.0
2014-11-15,44.0
2014-11-16,47.0
2014-11-17,50.0
2014-11-18,47.0
2014-11-19,47.0
2014-11-20,45.0
2014-11-21,47.0
2014-11-22,46.0
2014-11-23,43.0
2014-11-24,50.0
2014-11-25,51.0
2014-11-26,48.0
2014-11-27,48.0
2014-11-28,47.0
2014-11-29,45.0
2014-11-30,43.0
2014-12-01,44.0
2014-12-02,43.0
2014-12-03,45.0
2014-12-04,47.0
2014-12-05,45.0
2014-12-06,44.0
2014-12-07,46.0
2014-12-08,48.0
2014-12-09,48.0
2014-12-10,50.0
2014-12-11,51.0
2014-12-12,46.0
2014-12-13,47.0
2014-12-14,47.0
2014-12-15,49.0
2014-12-16,49.0
2014-12-17,48.0
2014-12-18,48.0
2014-12-19,51.0
2014-12-20,48.0
2014-12-21,44.0
2014-12-22,39.0
2014-12-23,36.0
2014-12-24,41.0
2014-12-25,47.0
2014-12-26,47.0
2014-12-27,44.0
2014-12-28,48.0
2014-12-29,45.0
2014-12-30,45.0
2014-12-31,44.0
2015-01-01,45.0
2015-01-02,37.0
2015-01-03,33.0
2015-01-04,38.0
2015-01-05,44.0
2015-01-06,45.0
2015-01-07,46.0
2015-01-08,48.0
2015-01-09,46.0
2015-01-10,43.0
